,epoch,batch,loss,acc,f1,recall,roll_730_acc,roll_730_loss,roll_180_acc,roll_180_loss
0,0,0,1.2830188274383545,0.68,0.68,0.68,,,,
1,0,1,1.2490044832229614,0.41,0.41,0.41,,,,
2,0,2,1.1682192881902058,0.5225,0.5225,0.5225,,,,
3,0,3,1.1397159695625305,0.5975,0.5975,0.5975,,,,
4,0,4,1.0826497316360473,0.7175,0.7175,0.7175,,,,
5,0,5,1.0507381459077199,0.7,0.7,0.7,,,,
6,0,6,1.024448003087725,0.64,0.64,0.64,,,,
7,0,7,0.996065303683281,0.6675,0.6675,0.6675,,,,
8,0,8,0.9814561340543959,0.625,0.625,0.625,,,,
9,0,9,0.962494558095932,0.69,0.69,0.69,,,,
10,0,10,0.9410376277836886,0.7075,0.7075,0.7075,,,,
11,0,11,0.9284123231967291,0.6625,0.6625,0.6625,,,,
12,0,12,0.9087165915049039,0.73,0.7299999999999999,0.73,,,,
13,0,13,0.8970062008925846,0.7025,0.7025,0.7025,,,,
14,0,14,0.8829126397768656,0.7275,0.7275000000000001,0.7275,,,,
15,0,15,0.8730748184025288,0.7175,0.7175,0.7175,,,,
16,0,16,0.865598341997932,0.675,0.675,0.675,,,,
17,0,17,0.8615434865156809,0.65,0.65,0.65,,,,
18,0,18,0.8522894507960269,0.7275,0.7275000000000001,0.7275,,,,
19,0,19,0.8473661869764328,0.705,0.705,0.705,,,,
20,0,20,0.8435002054486956,0.7025,0.7025,0.7025,,,,
21,0,21,0.8375407159328461,0.7075,0.7075,0.7075,,,,
22,0,22,0.831866891487785,0.73,0.7299999999999999,0.73,,,,
23,0,23,0.8227642724911371,0.75,0.75,0.75,,,,
24,0,24,0.8155283617973328,0.7575,0.7575,0.7575,,,,
25,0,25,0.8107580519639529,0.71,0.7100000000000001,0.71,,,,
26,0,26,0.8081745836469862,0.7075,0.7075,0.7075,,,,
27,0,27,0.8013880359275001,0.7525,0.7525,0.7525,,,,
28,0,28,0.7935472809035202,0.7825,0.7825,0.7825,,,,
29,0,29,0.787459933757782,0.7725,0.7725000000000001,0.7725,,,,
30,0,30,0.7849383777187716,0.7275,0.7275000000000001,0.7275,,,,
31,0,31,0.7798346113413572,0.76,0.76,0.76,,,,
32,0,32,0.7747389601938652,0.7625,0.7625,0.7625,,,,
33,0,33,0.7722509643610787,0.7275,0.7275000000000001,0.7275,,,,
34,0,34,0.7702010001455034,0.725,0.7250000000000001,0.725,,,,
35,0,35,0.765540654460589,0.76,0.76,0.76,,,,
36,0,36,0.7619750709147066,0.7375,0.7375,0.7375,,,,
37,0,37,0.7591637514139477,0.7425,0.7425,0.7425,,,,
38,0,38,0.7583074691968087,0.71,0.7100000000000001,0.71,,,,
39,0,39,0.7551123693585395,0.7825,0.7825,0.7825,,,,
40,0,40,0.7537582734736,0.73,0.7299999999999999,0.73,,,,
41,0,41,0.7524991007078261,0.7375,0.7375,0.7375,,,,
42,0,42,0.7511709983958754,0.7175,0.7175,0.7175,,,,
43,0,43,0.7485757266933267,0.745,0.745,0.745,,,,
44,0,44,0.7457114881939358,0.775,0.775,0.775,,,,
45,0,45,0.7448055342487667,0.7325,0.7325,0.7325,,,,
46,0,46,0.7420350985324129,0.74,0.74,0.74,,,,
47,0,47,0.7381206651528677,0.7975,0.7975,0.7975,,,,
48,0,48,0.7348259042720405,0.78,0.78,0.78,,,,
49,0,49,0.7316050279140472,0.7725,0.7725000000000001,0.7725,,,,
50,0,50,0.7296835943764332,0.7475,0.7475,0.7475,,,,
51,0,51,0.7270736728723233,0.765,0.765,0.765,,,,
52,0,52,0.7240916400585534,0.775,0.775,0.775,,,,
53,0,53,0.7222361310764596,0.7425,0.7425,0.7425,,,,
54,0,54,0.7200556895949624,0.7475,0.7475,0.7475,,,,
55,0,55,0.7156867470060077,0.8225,0.8225,0.8225,,,,
56,0,56,0.7135363493049354,0.78,0.78,0.78,,,,
57,0,57,0.7108476254446753,0.82,0.82,0.82,,,,
58,0,58,0.7084317894305213,0.7825,0.7825,0.7825,,,,
59,0,59,0.7069008032480876,0.7625,0.7625,0.7625,,,,
60,0,60,0.7035976345421838,0.7925,0.7925,0.7925,,,,
61,0,61,0.7011915281895669,0.7575,0.7575,0.7575,,,,
62,0,62,0.6991444722054496,0.755,0.755,0.755,,,,
63,0,63,0.698159784078598,0.7425,0.7425,0.7425,,,,
64,0,64,0.6953597930761484,0.7975,0.7975,0.7975,,,,
65,0,65,0.6939234363310265,0.79,0.79,0.79,,,,
66,0,66,0.6931843819902904,0.7625,0.7625,0.7625,,,,
67,0,67,0.6922091692686081,0.7675,0.7675,0.7675,,,,
68,0,68,0.6900380279706873,0.795,0.795,0.795,,,,
69,0,69,0.6878877367292132,0.7675,0.7675,0.7675,,,,
70,0,70,0.6866023297041235,0.765,0.765,0.765,,,,
71,0,71,0.6842649736338191,0.8175,0.8175,0.8175,,,,
72,0,72,0.6831393299037463,0.7475,0.7475,0.7475,,,,
73,0,73,0.681610093728916,0.8,0.8000000000000002,0.8,,,,
74,0,74,0.6803807067871094,0.775,0.775,0.775,,,,
75,0,75,0.6775506460352948,0.82,0.82,0.82,,,,
76,0,76,0.6767871921712701,0.7775,0.7775,0.7775,,,,
77,0,77,0.6747622658044864,0.78,0.78,0.78,,,,
78,0,78,0.6736919819554196,0.7575,0.7575,0.7575,,,,
79,0,79,0.6720090188086033,0.8,0.8000000000000002,0.8,,,,
80,0,80,0.6712362817776056,0.745,0.745,0.745,,,,
81,0,81,0.6693115445171914,0.79,0.79,0.79,,,,
82,0,82,0.6681074255920318,0.7625,0.7625,0.7625,,,,
83,0,83,0.6666521273908161,0.7825,0.7825,0.7825,,,,
84,0,84,0.6656385533949908,0.78,0.78,0.78,,,,
85,0,85,0.6651661541572836,0.7575,0.7575,0.7575,,,,
86,0,86,0.6644127403182545,0.7625,0.7625,0.7625,,,,
87,0,87,0.6628296808762983,0.78,0.78,0.78,,,,
88,0,88,0.6612165489893281,0.8025,0.8025,0.8025,,,,
89,0,89,0.6595769153700934,0.795,0.795,0.795,,,,
90,0,90,0.6587722733780578,0.7775,0.7775,0.7775,,,,
91,0,91,0.6575957724581594,0.79,0.79,0.79,,,,
92,0,92,0.6565389056359568,0.79,0.79,0.79,,,,
93,0,93,0.6555117343334441,0.7875,0.7875,0.7875,,,,
94,0,94,0.6545728865422701,0.78,0.78,0.78,,,,
95,0,95,0.6532904331882795,0.8,0.8000000000000002,0.8,,,,
96,0,96,0.6520381465400618,0.815,0.815,0.815,,,,
97,0,97,0.6509290830213197,0.79,0.79,0.79,,,,
98,0,98,0.6498218226914454,0.7875,0.7875,0.7875,,,,
99,0,99,0.6490124523639679,0.79,0.79,0.79,,,,
100,0,100,0.647659959769485,0.8,0.8000000000000002,0.8,,,,
101,0,101,0.6462295271602332,0.82,0.82,0.82,,,,
102,0,102,0.6451561063238718,0.795,0.795,0.795,,,,
103,0,103,0.6444382237700316,0.7825,0.7825,0.7825,,,,
104,0,104,0.6432354824883597,0.81,0.81,0.81,,,,
105,0,105,0.6422174837229386,0.7775,0.7775,0.7775,,,,
106,0,106,0.6418222651303371,0.755,0.755,0.755,,,,
107,0,107,0.6408335875581812,0.7725,0.7725000000000001,0.7725,,,,
108,0,108,0.6399660777608189,0.78,0.78,0.78,,,,
109,0,109,0.6389682867310263,0.7875,0.7875,0.7875,,,,
110,0,110,0.6382621129353842,0.7825,0.7825,0.7825,,,,
111,0,111,0.6377637370356491,0.765,0.765,0.765,,,,
112,0,112,0.6365179343033681,0.82,0.82,0.82,,,,
113,0,113,0.6352605077258328,0.82,0.82,0.82,,,,
114,0,114,0.6338552482750105,0.81,0.81,0.81,,,,
115,0,115,0.6327555485326668,0.805,0.805,0.805,,,,
116,0,116,0.6316015908860753,0.8125,0.8125,0.8125,,,,
117,0,117,0.6308338465326924,0.795,0.795,0.795,,,,
118,0,118,0.629989834392772,0.7775,0.7775,0.7775,,,,
119,0,119,0.6290848925709724,0.7875,0.7875,0.7875,,,,
120,0,120,0.6282682487787294,0.7975,0.7975,0.7975,,,,
121,0,121,0.6274442413791281,0.785,0.785,0.785,,,,
122,0,122,0.6259847821258917,0.83,0.83,0.83,,,,
123,0,123,0.6254111148657338,0.785,0.785,0.785,,,,
124,0,124,0.624397689819336,0.8225,0.8225,0.8225,,,,
125,0,125,0.6235700472006722,0.79,0.79,0.79,,,,
126,0,126,0.6223840894192223,0.8175,0.8175,0.8175,,,,
127,0,127,0.6218688983935863,0.7925,0.7925,0.7925,,,,
128,0,128,0.6207773544529612,0.825,0.825,0.825,,,,
129,0,129,0.6198501112369391,0.8175,0.8175,0.8175,,,,
130,0,130,0.6190832396044986,0.7975,0.7975,0.7975,,,,
131,0,131,0.6186249615116552,0.7675,0.7675,0.7675,,,,
132,0,132,0.6181246120678751,0.775,0.775,0.775,,,,
133,0,133,0.617475383539698,0.7925,0.7925,0.7925,,,,
134,0,134,0.6167290133458597,0.7925,0.7925,0.7925,,,,
